entity1_canonical_text,entity1_type,pred_label,entity2_canonical_text,entity2_type,relation_group,relation_count,max_pred_score,mean_pred_score,pmids,unique_pmid_count,same_sentence_count,has_validated_pesticide,has_unvalidated_chemical,example_title
ATZ,ChemicalEntity,INDIRECT-UPREGULATOR,ATZ,ChemicalEntity,Positive effect,5,11.119784,11.011,30195392,1,5,False,True,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
calcium,ChemicalEntity,INDIRECT-UPREGULATOR,genotoxicity,DiseaseOrPhenotypicFeature,Positive effect,1,11.088523,11.089,30195392,1,0,False,False,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
ATZ,ChemicalEntity,INDIRECT-UPREGULATOR,2-morpholin-4-ylethanesulfonic acid,ChemicalEntity,Positive effect,1,11.063255,11.063,30195392,1,1,False,True,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
2-morpholin-4-ylethanesulfonic acid,ChemicalEntity,INDIRECT-UPREGULATOR,ATZ,ChemicalEntity,Positive effect,3,11.054817,10.942,30195392,1,3,False,True,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
2-morpholin-4-ylethanesulfonic acid,ChemicalEntity,INDIRECT-UPREGULATOR,genotoxicity,DiseaseOrPhenotypicFeature,Positive effect,3,11.030419,10.899,30195392,1,2,False,False,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
2-morpholin-4-ylethanesulfonic acid,ChemicalEntity,INDIRECT-UPREGULATOR,Allium cepa,OrganismTaxon,Positive effect,1,10.983188,10.983,30195392,1,0,False,False,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
triketone,ChemicalEntity,INDIRECT-UPREGULATOR,2-morpholin-4-ylethanesulfonic acid,ChemicalEntity,Positive effect,2,10.966978,10.9,30195392,1,2,False,True,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
cytotoxicity,DiseaseOrPhenotypicFeature,INDIRECT-UPREGULATOR,Allium cepa,OrganismTaxon,Positive effect,2,10.9645605,10.926,30195392,1,0,False,False,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
atrazine,ChemicalEntity,INDIRECT-UPREGULATOR,ATZ,ChemicalEntity,Positive effect,2,10.926782,10.877,30195392,1,1,True,True,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
herbicide,ChemicalEntity,INDIRECT-UPREGULATOR,2-morpholin-4-ylethanesulfonic acid,ChemicalEntity,Positive effect,1,10.879715,10.88,30195392,1,1,False,True,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
2-morpholin-4-ylethanesulfonic acid,ChemicalEntity,INDIRECT-UPREGULATOR,2-morpholin-4-ylethanesulfonic acid,ChemicalEntity,Positive effect,3,10.850684,10.765,30195392,1,3,False,False,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
ATZ,ChemicalEntity,INDIRECT-UPREGULATOR,MN,DiseaseOrPhenotypicFeature,Positive effect,1,10.823685,10.824,30195392,1,1,False,True,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
ATZ,ChemicalEntity,INDIRECT-UPREGULATOR,genotoxicity,DiseaseOrPhenotypicFeature,Positive effect,1,10.798243,10.798,30195392,1,1,False,True,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
herbicide,ChemicalEntity,INDIRECT-UPREGULATOR,MN,DiseaseOrPhenotypicFeature,Positive effect,1,10.790555,10.791,30195392,1,1,False,True,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
atrazine,ChemicalEntity,INDIRECT-UPREGULATOR,MN,DiseaseOrPhenotypicFeature,Positive effect,1,10.710629,10.711,30195392,1,1,True,False,"Mesotrione herbicide does not cause genotoxicity, but modulates the genotoxic effects of Atrazine when assessed in mixture using a plant test system (Allium cepa)."
neonicotinoid,ChemicalEntity,Association,P450,GeneOrGeneProduct,General association,1,10.288398,10.288,38879340,1,1,True,False,microRNA-3037 targeting CYP6CY2 confers imidacloprid resistance to Sitobion miscanthi (Takahashi).
breast cancer,DiseaseOrPhenotypicFeature,Association,estrogen receptor alpha,GeneOrGeneProduct,General association,1,10.226669,10.227,36379430,1,1,False,False,Glyphosate mimics 17β-estradiol effects promoting estrogen receptor alpha activity in breast cancer cells.
diethofencarb,ChemicalEntity,Association,beta-tubulin,GeneOrGeneProduct,General association,3,10.217988,9.759,8082187,1,3,True,False,Amino-acid alterations in the beta-tubulin gene of Neurospora crassa that confer resistance to carbendazim and diethofencarb.
neurotoxic pesticides,DiseaseOrPhenotypicFeature,Association,cholinesterase,GeneOrGeneProduct,General association,1,10.206757,10.207,29358113,1,1,False,False,"Long term exposure to low dose neurotoxic pesticides affects hatching, viability and cholinesterase activity of Artemia sp."
"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",ChemicalEntity,Association,mitochondrial damage,DiseaseOrPhenotypicFeature,General association,1,10.205195,10.205,36031576,1,1,False,False,[Protective effect of edaravone on chlorpyrifos-induced brain injury in rats and its mechanism].
chlorpyrifos,ChemicalEntity,Association,Paraoxonase,GeneOrGeneProduct,General association,1,10.199168,10.199,24979751,1,1,True,False,Paraoxonase enzyme protects retinal pigment epithelium from chlorpyrifos insult.
testicular injury,DiseaseOrPhenotypicFeature,Association,inhibin B,GeneOrGeneProduct,General association,1,10.1943865,10.194,23364888,1,1,False,False,"Assessment of inhibin B as a biomarker of testicular injury following administration of carbendazim, cetrorelix, or 1,2-dibromo-3-chloropropane in Wistar han rats."
spinosad resistance,DiseaseOrPhenotypicFeature,Association,Bdα6,GeneOrGeneProduct,General association,1,10.190875,10.191,22898623,1,1,False,False,Truncated transcripts of nicotinic acetylcholine subunit gene Bdα6 are associated with spinosad resistance in Bactrocera dorsalis.
3-phenoxybenzoic acid,ChemicalEntity,Association,pobA,GeneOrGeneProduct,General association,1,10.190655,10.191,26298261,1,1,False,False,Quantitative response relationships between degradation rates and functional genes during the degradation of beta-cypermethrin in soil.
